device,useragent
linux,"Mozilla/5.0 (Linux i680 x86_64) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/50.0.3057.363 Safari/602"
android,"Mozilla/5.0 (Android; Android 7.1.1; LG-H910 Build/NRD90C) AppleWebKit/535.16 (KHTML, like Gecko) Chrome/54.0.3361.227 Mobile Safari/536.0"
mobile,"Mozilla/5.0 (Linux; U; Android 7.1; Pixel XL Build/NRD90M) AppleWebKit/533.5 (KHTML, like Gecko) Chrome/49.0.3909.273 Mobile Safari/603.0"
linux,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/602.46 (KHTML, like Gecko) Chrome/47.0.3340.337 Safari/533"
firefox,Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64) Gecko/20100101 Firefox/69.0
firefox,Mozilla/5.0 (Windows; Windows NT 6.1; x64) Gecko/20100101 Firefox/51.7
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 10.1; x64 Trident/4.0)
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;; en-US) AppleWebKit/600.18 (KHTML, like Gecko) Chrome/52.0.3026.381 Safari/534.0 Edge/10.86129"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.3;; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_4; like Mac OS X) AppleWebKit/600.24 (KHTML, like Gecko) Chrome/53.0.2454.224 Mobile Safari/537.3"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.1; Win64; x64; en-US Trident/7.0)
edge,"Mozilla/5.0 (Windows; Windows NT 10.4;; en-US) AppleWebKit/536.46 (KHTML, like Gecko) Chrome/54.0.1612.124 Safari/533.0 Edge/13.87227"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5;; en-US) AppleWebKit/536.41 (KHTML, like Gecko) Chrome/55.0.1110.134 Safari/535.4 Edge/14.81945"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/51.1
windows,"Mozilla/5.0 (Windows; Windows NT 6.2; x64) AppleWebKit/536.10 (KHTML, like Gecko) Chrome/52.0.2468.123 Safari/533"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/600.11 (KHTML, like Gecko) Chrome/53.0.1269.137 Safari/602.4 Edge/9.94021"
windows,"Mozilla/5.0 (Windows NT 10.3; Win64; x64; en-US) AppleWebKit/603.42 (KHTML, like Gecko) Chrome/50.0.2043.367 Safari/603"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/52.0.1899.297 Safari/534"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_7) AppleWebKit/534.41 (KHTML, like Gecko) Chrome/47.0.2723.367 Safari/534"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_1; en-US) Gecko/20130401 Firefox/70.0
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_6; like Mac OS X) AppleWebKit/603.8 (KHTML, like Gecko) Chrome/53.0.1630.207 Mobile Safari/602.3"
